Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
Design UI with me LIVE! UI Design #14,https://www.youtube.com/watch?v=YNxU9YPZRSM&list=PLuCVsS_EScKHdEgqHps_rFxCFX8IpUF8g&index=3,8_1,86.56,86.56,,[deselect],,selection,deselect,cursor,,canvas,,0.0,0.0,0.0,<1 second,1.0,0.5,
,,,86.56,86.58,,[hover] over [reference(s)] on [canvas],,wayfinding,wayfinding using canvas,cursor,,canvas,,0.0,2.0,2.0,<3 seconds,3.0,2.5,
,,,86.59,86.59,activate pen tool,[gui interaction],,gui interaction,activate tool,cursor,,gui,,3.0,3.0,0.0,<1 second,1.0,0.5,
,,,87.01,87.01,place pen point,[click] to [create] [reference] at [new position] on [canvas] using [cursor] and [freehand positioning],,creating spline object,creating design object using freehand,cursor,,canvas,,5.0000000000009095,5.0000000000009095,0.0,<1 second,1.0,0.5,
,,,87.02,87.02,hover to plan out where pen point will go,[hover] over [reference(s)] on [canvas],,wayfinding,wayfinding using canvas,cursor,,canvas,,6.0,6.0,0.0,<1 second,1.0,0.5,
,,,87.04,87.04,,[undo],,undo,undo,keyboard,,canvas,,8.00000000000091,8.00000000000091,0.0,<1 second,1.0,0.5,
,,,87.04,87.04,zoom out,[zoom],,navigation,navigate,gesture,,canvas,,8.00000000000091,8.00000000000091,0.0,<1 second,1.0,0.5,
,,,87.04,87.04,,[hover] over [reference(s)] on [canvas],,wayfinding,wayfinding using canvas,cursor,,canvas,,8.00000000000091,8.00000000000091,0.0,<1 second,1.0,0.5,
,,,87.05,87.05,pan with drag to pan,[pan],,navigation,navigate,gesture,,canvas,,9.0,9.0,0.0,<1 second,1.0,0.5,
,,,87.05,87.05,,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,,9.0,9.0,0.0,<1 second,1.0,0.5,
,,,87.06,87.09,update opacity,[gui interaction],,gui interaction,update design object property,cursor,,gui,,10.0,13.0,3.0,<4 seconds,4.0,3.5,
,,,87.1,87.1,,[deselect],,selection,deselect,cursor,,canvas,,13.99999999999909,13.99999999999909,0.0,<1 second,1.0,0.5,
,,,87.11,87.11,zoom with magnifying glass,[zoom],,navigation,navigate,gesture,,canvas,,15.0,15.0,0.0,<1 second,1.0,0.5,
,,,87.12,87.12,,[pan],,navigation,navigate,gesture,,canvas,,16.0,16.0,0.0,<1 second,1.0,0.5,
,,,87.14,87.14,,[hover] over [reference(s)] on [canvas],,wayfinding,wayfinding using canvas,cursor,,canvas,,18.0,18.0,0.0,<1 second,1.0,0.5,
,,,87.15,87.15,,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,,19.00000000000091,19.00000000000091,0.0,<1 second,1.0,0.5,
,,,87.15,87.17,,[drag] to [create] [reference] at [new position] on [canvas] using [cursor] and [freehand positioning],,creating design object,creating design object using freehand,cursor,,canvas,,19.00000000000091,21.0,1.9999999999990905,<3 seconds,2.9999999999990905,2.4999999999990905,
,,,87.17,87.18,she undos the drag to new position without letting go so just brings it back manually,[undo],,undo,undo,keyboard,,canvas,,21.0,22.00000000000091,1.0000000000009095,<2 seconds,2.0000000000009095,1.5000000000009095,
,,,87.19,87.19,,[deselect],,selection,deselect,cursor,,canvas,,23.0,23.0,0.0,<1 second,1.0,0.5,
,,,87.2,87.2,,[zoom],,navigation,navigate,gesture,,canvas,,24.0,24.0,0.0,<1 second,1.0,0.5,
,,,87.2,87.2,,[zoom],,navigation,navigate,gesture,,canvas,,24.0,24.0,0.0,<1 second,1.0,0.5,
,,,87.2,87.2,,[pan],,navigation,navigate,gesture,,canvas,,24.0,24.0,0.0,<1 second,1.0,0.5,
,,,87.21,87.21,activate pen tool,[gui interaction],,gui interaction,activate tool,cursor,,gui,,24.99999999999909,24.99999999999909,0.0,<1 second,1.0,0.5,
