Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
UI Design Cinema Ticketing in Figma - UI Speed Design | Week - 12,https://www.youtube.com/watch?v=JkC4o1U5zgM&list=PLfrBp-7QhDqtmJ8oAjYhP6PLQqwDI0z1S&index=6,1_1,0.21,0.21,,[navigate] to focus [area of interest],,navigation,,complex gesture,,,,0.0,0.0,0.0,<1 second,1.0,0.5,combining zooming and panning is hard
,,,0.22,0.22,activate text tool,[gui interaction],,activate tool,,cursor,,gui,activate text tool,1.0,1.0,0.0,<1 second,1.0,0.5,
,,,0.22,0.22,,[zoom],,navigation,,gesture,,,,1.0,1.0,0.0,<1 second,1.0,0.5,
,,,0.23,0.23,,[create] [text object] at [new position] on [canvas] using [freehand positioning],,creating text using freehand,,cursor,,canvas,,2.0,2.0,0.0,<1 second,1.0,0.5,choosing position is hard
,,,0.23,0.26,,[update] [text object] using [keyboard],,update text object content,,keyboard,,canvas,,2.0,5.0,3.0,<4 seconds,4.0,3.5,
,,,0.26,0.27,,[gui interaction],,update text object property,,cursor,,gui,update text alignment,5.0,6.0,1.0,<2 seconds,2.0,1.5,
,,,0.27,0.28,,[gui interaction],,update text object property,,multi_step,,gui,update letter spacing,6.0,7.0000000000000036,1.0000000000000036,<2 seconds,2.0000000000000036,1.5000000000000036,
,,,0.29,0.29,,[drag] [reference] to [new position] using [cursor] and [alignment grids],,alignment positioning,,cursor,,,,7.9999999999999964,7.9999999999999964,0.0,<1 second,1.0,0.5,
,,,0.3,0.33,,[move] [reference] to [new position] using [keyboard] and [alignment grids],,alignment positioning,,keyboard,,,,9.0,12.0,3.0,<4 seconds,4.0,3.5,alignment grids only show up for conventional keyboard and cursor actions - not when accessibility tools are used
,,,0.33,0.34,,[gui interaction],,update text object size,,cursor,,gui,update text size,12.0,13.0,1.0,<2 seconds,2.0,1.5,
,,,0.35,0.35,,[duplicate] [reference],,copy/paste,,keyboard,,,,14.0,14.0,0.0,<1 second,1.0,0.5,
,,,0.35,0.35,,[drag] [reference] to [new position] using [cursor] and [alignment grids],,alignment positioning,,cursor,,,,14.0,14.0,0.0,<1 second,1.0,0.5,
,,,0.36,0.36,,[multiselect] [references] on [canvas] using [cursor],,selection,,cursor,,,,15.0,15.0,0.0,<1 second,1.0,0.5,
,,,0.36,0.36,,[create] [autolayout],,create autolayout,,keyboard,,,,15.0,15.0,0.0,<1 second,1.0,0.5,
,,,0.37,0.37,,[gui interaction],,update autolayout,,multi_step,,gui,update vertical autolayout spacing,16.0,16.0,0.0,<1 second,1.0,0.5,
,,,0.37,0.38,,[select] [reference] on [canvas] using [cursor],,selection,,cursor,,canvas,,16.0,17.0,1.0,<2 seconds,2.0,1.5,
,,,0.38,0.38,,[select] [reference] on [canvas] using [cursor],,selection,,cursor,,canvas,,17.0,17.0,0.0,<1 second,1.0,0.5,
,,,0.38,0.39,,[mistake/redundant],,,,,,,,17.0,18.0,1.0,<2 seconds,2.0,1.5,
,,,0.39,0.4,,[gui interaction],,update text object size,,multi_step,,gui,update text size,18.0,19.0,1.0,<2 seconds,2.0,1.5,
,,,0.43,0.43,,[select] [reference] on [canvas] using [cursor],,selection,,cursor,,canvas,,22.0,22.0,0.0,<1 second,1.0,0.5,
,,,0.44,0.46,,[gui interaction],,update design object property,,multi_step,,gui,update colour style,23.0,25.0,2.0,<3 seconds,3.0,2.5,
,,,0.47,0.47,,[deep select] [reference] on [canvas] using [cursor],,selection,,multi_input,,,,26.0,26.0,0.0,<1 second,1.0,0.5,
,,,0.47,0.48,,[gui interaction],,update design object property,,multi_step,,gui,update colour style,26.0,27.0,1.0,<2 seconds,2.0,1.5,
,,,0.48,0.48,,[navigate] to focus [area of interest],,navigation,,gesture,,,,27.0,27.0,0.0,<1 second,1.0,0.5,
,,,0.48,0.48,,[deep select] [reference] on [canvas] using [cursor],,selection,,cursor,,,,27.0,27.0,0.0,<1 second,1.0,0.5,
,,,0.49,0.55,,[update] [text object] with [keyboard],,update text object content,,keyboard,,,,28.0,34.00000000000001,6.000000000000007,<7 seconds,7.000000000000007,6.500000000000007,
,,,0.56,0.56,,[deep select] [reference] on [canvas] using [cursor],,selection,,cursor,,,,35.00000000000001,35.00000000000001,0.0,<1 second,1.0,0.5,
,,,0.56,0.58,,[update] [text object] with [keyboard],,update text object content,,keyboard,,,,35.00000000000001,36.99999999999999,1.9999999999999858,<3 seconds,2.999999999999986,2.499999999999986,
,,,0.59,0.59,,[deselect],,selection,,cursor,,,,38.0,38.0,0.0,<1 second,1.0,0.5,
,,,0.59,0.59,,[zoom] and [pan],,navigation,,complex gesture,,,,38.0,38.0,0.0,<1 second,1.0,0.5,
,,,1.0,1.0,,[select] [reference] on [canvas] using [cursor],,selection,,cursor,,,,39.0,39.0,0.0,<1 second,1.0,0.5,
,,,1.0,1.01,,[move] [reference] to [new position] using [keyboard] and [alignment grids],,alignment positioning,,keyboard,,,,39.0,40.0,1.0,<2 seconds,2.0,1.5,
,,,1.01,1.01,,[deselect],,selection,,cursor,,,,40.0,40.0,0.0,<1 second,1.0,0.5,
,,,1.02,1.02,,[gui interaction],,information revealing,,cursor,,gui,,41.0,41.0,0.0,<1 second,1.0,0.5,mistake/redundant
,,,1.02,1.02,,[gui interaction],,activate tool,,cursor,,gui,activate rectangle tool,41.0,41.0,0.0,<1 second,1.0,0.5,
,,,1.02,1.03,,[zoom] and [pan],,navigation,,complex gesture,,,,41.0,42.0,1.0,<2 seconds,2.0,1.5,
,,,1.03,1.03,,[drag] to [create] [reference] at [new position] on [canvas] using [cursor] and [freehand positioning],,creating design object using freehand,,cursor,,,creating rectangle,42.0,42.0,0.0,<1 second,1.0,0.5,
,,,1.03,1.05,,[gui interaction],,resize design object,,cursor,,gui,update design object size,42.0,44.0,2.0,<3 seconds,3.0,2.5,
,,,1.06,1.08,,[gui interaction],,update design object property,,cursor,,gui,update corner radius,45.0,47.0,2.0,<3 seconds,3.0,2.5,
,,,1.08,1.09,,[drag] [reference] to [new position] using [cursor] and [alignment grids],,alignment positioning,,cursor,,,,47.0,48.0,1.0,<2 seconds,2.0,1.5,
,,,1.09,1.09,,[multiselect] [references] on [canvas] using [cursor],,selection,,cursor,,,,48.0,48.0,0.0,<1 second,1.0,0.5,
,,,1.1,1.1,,[create] [autolayout],,create autolayout,,keyboard,,,,49.000000000000014,49.000000000000014,0.0,<1 second,1.0,0.5,
,,,1.1,1.11,,[gui interaction],,update autolayout,,multi_step,,gui,update autolayout layout,49.000000000000014,50.000000000000014,1.0,<2 seconds,2.0,1.5,
,,,1.11,1.11,,[deselect],,selection,,cursor,,,,50.000000000000014,50.000000000000014,0.0,<1 second,1.0,0.5,
,,,1.11,1.11,,[select] [reference] on [canvas] using [cursor],,selection,,cursor,,,,50.000000000000014,50.000000000000014,0.0,<1 second,1.0,0.5,
,,,1.13,1.14,,[gui interaction],,resize design object,,cursor,,gui,update design object size,51.999999999999986,52.999999999999986,1.0,<2 seconds,2.0,1.5,
,,,1.15,1.15,,[deep select] [reference] on [canvas] using [cursor],,selection,,cursor,,,,53.999999999999986,53.999999999999986,0.0,<1 second,1.0,0.5,
,,,1.15,1.18,,[gui interaction],,update design object property,,multi_step,,gui,update fill,53.999999999999986,57.0,3.000000000000014,<4 seconds,4.000000000000014,3.500000000000014,the hardest part of this action is that it is multistep and requires scrolling which is frustrating with voice
,,,1.19,1.2,,[zoom] and [pan],,navigation,,complex gesture,,,,58.0,59.0,1.0,<2 seconds,2.0,1.5,
,,,1.2,1.2,,[gui interaction],,activate tool,,cursor,,gui,activate rectangle tool,59.0,59.0,0.0,<1 second,1.0,0.5,
,,,1.21,1.21,,[drag] to [create] [reference] at [new position] on [canvas] using [cursor] and [freehand positioning],,creating design object using freehand,,cursor,,,creating rectangle,60.0,60.0,0.0,<1 second,1.0,0.5,
