Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
,,,11.1,11.1,,[zoom],,navigation,navigate,gesture,,canvas,wayfinding,34.0,34.0,0.0,<1 second,1.0,0.5,
,,,11.1,11.1,,[deselect],,selection,deselect,cursor,,canvas,deselect,34.0,34.0,0.0,<1 second,1.0,0.5,
,,,11.11,11.11,,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,select,35.0,35.0,0.0,<1 second,1.0,0.5,
,,,11.12,11.13,,[ungroup] [reference] using [cursor],,grouping,ungrouping,cursor,,canvas,group,35.999999999999886,37.000000000000114,1.0000000000002274,<2 seconds,2.0000000000002274,1.5000000000002274,
,,,11.14,11.14,,[create] [autolayout],,grouping,autolayout,keyboard,,canvas,create autolayout,38.0,38.0,0.0,<1 second,1.0,0.5,
,,,11.15,11.15,,[zoom] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,wayfinding,39.0,39.0,0.0,<1 second,1.0,0.5,
,,,11.15,11.15,align center,[gui interaction],,gui interaction,autolayout,cursor,,gui,align center,39.0,39.0,0.0,<1 second,1.0,0.5,
,,,11.16,11.16,change autolayout width from hug to fixed width ,[gui interaction],,gui interaction,autolayout,cursor,,gui,update autolayout width from hug to fixed width ,40.0,40.0,0.0,<1 second,1.0,0.5,
,,,11.17,11.17,update autolayout height from hug to fixed height,[gui interaction],,gui interaction,autolayout,cursor,,gui,update autolayout height from hug to fixed height,41.0,41.0,0.0,<1 second,1.0,0.5,
,,,11.18,11.18,,[gui interaction],,resizing,gui resizing,cursor,,gui,update design object size,42.0,42.0,0.0,<1 second,1.0,0.5,
,,,11.19,11.19,,[gui interaction],,resizing,gui resizing,cursor,,gui,update design object size,43.0,43.0,0.0,<1 second,1.0,0.5,
,,,11.2,11.2,,[deselect],,selection,deselect,cursor,,canvas,deselect,43.999999999999886,43.999999999999886,0.0,<1 second,1.0,0.5,
,,,11.2,11.2,,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,select,43.999999999999886,43.999999999999886,0.0,<1 second,1.0,0.5,
,,,11.2,11.21,,[drag] [reference] to [new position] using [cursor] and [freehand positioning],,positioning,freehand positioning,cursor,,canvas,positioning,43.999999999999886,45.000000000000114,1.0000000000002274,<2 seconds,2.0000000000002274,1.5000000000002274,
,,,11.21,11.21,zoom out,[zoom],,navigation,navigate,gesture,,canvas,wayfinding,45.000000000000114,45.000000000000114,0.0,<1 second,1.0,0.5,
,,,11.22,11.22,,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,select,46.000000000000114,46.000000000000114,0.0,<1 second,1.0,0.5,
,,,11.23,11.23,add autolayout to selected,[create] [autolayout],,grouping,autolayout,keyboard,,canvas,create autolayout,47.0,47.0,0.0,<1 second,1.0,0.5,
,,,11.23,11.23,pan to centre of selected,[pan] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,wayfinding,47.0,47.0,0.0,<1 second,1.0,0.5,
,,,11.24,11.24,align centre for selected,[gui interaction],,gui interaction,autolayout,cursor,,gui,update autolayout property,48.0,48.0,0.0,<1 second,1.0,0.5,
,,,11.24,11.25,change autolayout width from hug to fixed width ,[gui interaction],,gui interaction,autolayout,cursor,,gui,update autolayout property,48.0,49.0,1.0,<2 seconds,2.0,1.5,
,,,11.25,11.26,update autolayout height from hug to fixed height ,[gui interaction],,gui interaction,autolayout,cursor,,gui,update autolayout property,49.0,50.0,1.0,<2 seconds,2.0,1.5,
,,,11.27,11.27,update width to value,[gui interaction],,resizing,gui resizing,cursor,,gui,update design object size,51.0,51.0,0.0,<1 second,1.0,0.5,
,,,11.27,11.28,update height to value,[gui interaction],,resizing,gui resizing,cursor,,gui,update design object size,51.0,51.999999999999886,0.9999999999998863,<2 seconds,1.9999999999998863,1.4999999999998863,
,,,11.29,11.29,drag,[mistake/redundant],,,,,,,mistake,52.999999999999886,52.999999999999886,0.0,<1 second,1.0,0.5,
,,,11.3,11.31,drag [selected] to [new position] - uses alignment grids,[drag] [reference] to [new position] using [cursor] and [alignment grids],,positioning,alignment positioning,cursor,,canvas,positioning,54.000000000000114,55.0,0.9999999999998863,<2 seconds,1.9999999999998863,1.4999999999998863,
,,,11.32,11.32,select [layer name],[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,positioning,56.0,56.0,0.0,<1 second,1.0,0.5,
,,,11.33,11.33,align center for [selected],[gui interaction],,gui interaction,autolayout,cursor,,gui,update autolayout property,57.0,57.0,0.0,<1 second,1.0,0.5,
,,,11.34,11.35,change autolayout width from hug to fixed width ,[gui interaction],,gui interaction,autolayout,cursor,,gui,update autolayout property,58.0,59.0,1.0,<2 seconds,2.0,1.5,
,,,11.35,11.35,update autolayout height from hug to fixed height ,[gui interaction],,gui interaction,autolayout,cursor,,gui,update autolayout property,59.0,59.0,0.0,<1 second,1.0,0.5,
,,,11.36,11.36,update width to value,[gui interaction],,resizing,gui resizing,cursor,,gui,update design object size,60.0,60.0,0.0,<1 second,1.0,0.5,
