Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
" Food Ordering Mobile App Design in Figma | UI/UX (Wireframe, Prototype) Figma tutorial",https://www.youtube.com/watch?v=Yf00MKUfcIY,6_1,94.02,94.02,select design object,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,,0.0,0.0,0.0,<1 second,1.0,0.5,
,,,94.02,94.02,deselect ,[deselect],,selection,deselect,cursor,,canvas,,0.0,0.0,0.0,<1 second,1.0,0.5,
,,,94.03,94.03,zoom out ,[zoom],,navigation,navigate,gesture,,canvas,,1.0,1.0,0.0,<1 second,1.0,0.5,
,,,94.03,94.05,reposition viewport,[navigate] to focus [area of interest],,navigation,navigate to region of interest,complex gesture,,canvas,,1.0,3.0,2.0,<3 seconds,3.0,2.5,
,,,94.07,94.1,zoom to focus area of interest,[navigate] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,,4.9999999999990905,7.9999999999990905,3.0,<4 seconds,4.0,3.5,
,,,94.11,94.11,deep select object,[deep select] [reference] on [canvas] using [cursor],,selection,deep select,cursor,,canvas,,9.0,9.0,0.0,<1 second,1.0,0.5,
,,,94.13,94.13,delete,[delete],,delete,delete,keyboard,,canvas,,11.0,11.0,0.0,<1 second,1.0,0.5,
,,,94.15,94.15,expand ui menu (rectangle toolbar),[gui interaction],,gui interaction,gui interaction,cursor,,gui,,13.00000000000091,13.00000000000091,0.0,<1 second,1.0,0.5,
,,,94.16,94.16,select ellipse tool,[gui interaction],,gui interaction,activate tool,cursor,,gui,,14.0,14.0,0.0,<1 second,1.0,0.5,
,,,94.17,94.17,drag to create ellipse,[drag] to [create] [reference] at [new position] on [canvas] using [cursor] and [reference],,creating design object,creating design object using reference,cursor,,canvas,,15.0,15.0,0.0,<1 second,1.0,0.5,
,,,94.17,94.21,drag to resize ellipse (incrementally until it looks right?),[drag] [reference] to [resize] using [freehand positioning],,resizing,freehand resizing,cursor,,canvas,,15.0,18.99999999999909,3.9999999999990905,<5 seconds,4.9999999999990905,4.4999999999990905,
,,,94.22,94.23,update width in ui panel,[gui interaction],,resizing,gui resizing,cursor,,gui,,20.0,21.0,1.0,<2 seconds,2.0,1.5,
,,,94.25,94.25,zoom a bit,[zoom],,navigation,navigate,gesture,,canvas,,23.0,23.0,0.0,<1 second,1.0,0.5,
,,,94.26,94.28,drag to reposition object (uses alignment grids),[drag] [reference] to [new position] using [cursor] and [alignment grids],,positioning,alignment positioning,cursor,,canvas,,24.00000000000091,26.0,1.9999999999990905,<3 seconds,2.9999999999990905,2.4999999999990905,
,,,94.28,94.29,duplicate,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,26.0,27.00000000000091,1.0000000000009095,<2 seconds,2.0000000000009095,1.5000000000009095,
,,,94.29,94.3,these are just repeating the same actions many times,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,27.00000000000091,28.0,0.9999999999990905,<2 seconds,1.9999999999990905,1.4999999999990905,
,,,94.3,94.3,,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,28.0,28.0,0.0,<1 second,1.0,0.5,
,,,94.3,94.3,,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,28.0,28.0,0.0,<1 second,1.0,0.5,
,,,94.3,94.32,,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,28.0,29.99999999999909,1.9999999999990905,<3 seconds,2.9999999999990905,2.4999999999990905,
,,,94.32,94.33,,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,29.99999999999909,31.0,1.0000000000009095,<2 seconds,2.0000000000009095,1.5000000000009095,
,,,94.33,94.34,,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,31.0,32.0,1.0,<2 seconds,2.0,1.5,
,,,94.34,94.35,,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,32.0,32.99999999999909,0.9999999999990905,<2 seconds,1.9999999999990905,1.4999999999990905,
,,,94.35,94.37,,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,32.99999999999909,35.0,2.0000000000009095,<3 seconds,3.0000000000009095,2.5000000000009095,
,,,94.39,94.43,,[multiselect] [references] on [canvas] using [cursor],,selection,multiselect,cursor,,canvas,,37.0,41.00000000000091,4.0000000000009095,<5 seconds,5.0000000000009095,4.5000000000009095,
,,,94.43,94.44,,[hover] over [reference(s)] in [layers panel],,wayfinding,wayfinding using layers,cursor,,layers panel,,41.00000000000091,42.0,0.9999999999990905,<2 seconds,1.9999999999990905,1.4999999999990905,
,,,94.45,94.45,layers panel also scrolls due to clicking ob design object,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,,43.0,43.0,0.0,<1 second,1.0,0.5,
,,,94.45,94.45,sometimes you might only want to deselect one element from a group,[deselect] [reference],,selection,deselect,cursor,,canvas,,43.0,43.0,0.0,<1 second,1.0,0.5,
,,,94.48,94.48,,[create] [group] from [reference(s)],,grouping,grouping,keyboard,,canvas,,46.0,46.0,0.0,<1 second,1.0,0.5,
,,,94.48,94.5,select colour panel to find eyedropper tool,[gui interaction],,gui interaction,gui interaction,cursor,,gui,,46.0,48.0,2.0,<3 seconds,3.0,2.5,
,,,94.5,94.52,update colour using eyedropper,[eyedropper],,update colour,update design object property,cursor,,canvas,,48.0,50.0,2.0,<3 seconds,3.0,2.5,
,,,94.53,94.53,close gui panel,[gui interaction],,gui interaction,gui interaction,cursor,,gui,,51.0,51.0,0.0,<1 second,1.0,0.5,
,,,94.53,94.57,zoom out and pan a bit to focus the main design element,[navigate] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,,51.0,54.99999999999909,3.9999999999990905,<5 seconds,4.9999999999990905,4.4999999999990905,
,,,94.58,94.58,,[deselect],,selection,deselect,cursor,,canvas,,56.0,56.0,0.0,<1 second,1.0,0.5,
,,,94.58,94.58,,[hover] over [reference(s)] on [canvas],,wayfinding,wayfinding using canvas,cursor,,canvas,,56.0,56.0,0.0,<1 second,1.0,0.5,
