Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
Design some social media templates with me! [Livestream Replay],https://www.youtube.com/watch?v=uz9tPsak9pM&list=PLrJQSKQvgHS73G9sOhMhmWk-JoJZsyPiX,10_1,57.0,57.02,,[zoom] to fit context in viewport,,navigation,navigate to fit context,complex gesture,,canvas,wayfinding,0.0,2.0000000000004547,2.0000000000004547,<3 seconds,3.0000000000004547,2.5000000000004547,
,,,57.02,57.03,,[navigate] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,wayfinding,2.0000000000004547,3.0,0.9999999999995453,<2 seconds,1.9999999999995453,1.4999999999995453,
,,,57.04,57.05,,[hover] over [reference(s)] in [layers panel],,wayfinding,wayfinding using layers,cursor,,layers panel,wayfinding,4.0,4.999999999999545,0.9999999999995453,<2 seconds,1.9999999999995453,1.4999999999995453,
,,,57.06,57.06,select assets on toolbar,[gui interaction],,gui interaction,gui interaction,cursor,,gui,,6.0,6.0,0.0,<1 second,1.0,0.5,
,,,57.07,57.1,scroll through assets,[gui interaction],,gui interaction,gui interaction,gesture,,gui,,7.0,10.0,3.0,<4 seconds,4.0,3.5,
,,,57.1,57.11,drag and drop asset,[drag] [reference] to [new position] using [cursor] and [reference(s)],,positioning,reference positioning,complex gesture,,canvas,,10.0,11.0,1.0,<2 seconds,2.0,1.5,
,,,57.11,57.12,,[hover] over [reference(s)] on [canvas],,wayfinding,wayfinding using canvas,cursor,,canvas,,11.0,11.999999999999545,0.9999999999995453,<2 seconds,1.9999999999995453,1.4999999999995453,
,,,57.12,57.12,,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,,11.999999999999545,11.999999999999545,0.0,<1 second,1.0,0.5,
,,,57.13,57.13,,[delete],,delete,delete,keyboard,,canvas,,13.000000000000455,13.000000000000455,0.0,<1 second,1.0,0.5,
,,,57.15,57.15,,[deep select] [reference] on [canvas] using [cursor],,selection,deep select,cursor,,canvas,,15.0,15.0,0.0,<1 second,1.0,0.5,
,,,57.16,57.17,very small resizing,[drag] [reference] to [resize] using [freehand positioning],,resizing,freehand resizing,cursor,,canvas,,15.999999999999545,17.0,1.0000000000004547,<2 seconds,2.0000000000004547,1.5000000000004547,
,,,57.17,57.2,update colour using GUI,[gui interaction],,update colour,update design object property,cursor,,gui,,17.0,20.000000000000455,3.0000000000004547,<4 seconds,4.000000000000455,3.5000000000004547,
,,,57.21,57.22,,[navigate] to focus [reference],,navigation,navigate to reference,complex gesture,,canvas,,21.0,22.0,1.0,<2 seconds,2.0,1.5,
,,,57.23,57.23,zoom out,[zoom],,navigation,navigate,gesture,,canvas,,22.999999999999545,22.999999999999545,0.0,<1 second,1.0,0.5,
,,,57.23,57.24,,[deep select] [reference] on [canvas] using [cursor],,selection,deep select,cursor,,canvas,,22.999999999999545,24.0,1.0000000000004547,<2 seconds,2.0000000000004547,1.5000000000004547,
,,,57.25,57.26,zoom out and in again,[zoom],,navigation,navigate,gesture,,canvas,,25.0,26.0,1.0,<2 seconds,2.0,1.5,
,,,57.27,57.47,change design file e.g. navigating through figma interface to find new assets file,[gui interaction],,gui interaction,gui interaction,cursor,,gui,,27.000000000000455,47.0,19.999999999999545,<21 seconds,20.999999999999545,20.499999999999545,
,,,57.51,57.51,,[hover] over [reference(s)] on [canvas],,wayfinding,wayfinding using canvas,cursor,,canvas,,51.0,51.0,0.0,<1 second,1.0,0.5,
,,,57.51,57.51,,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,,51.0,51.0,0.0,<1 second,1.0,0.5,
,,,57.51,57.51,,[copy],,copy/paste/cut,copy/paste/cut,keyboard,,canvas,,51.0,51.0,0.0,<1 second,1.0,0.5,
,,,57.53,57.56,switch back to original design file,[gui interaction],,gui interaction,gui interaction,cursor,,gui,,53.0,56.0,3.0,<4 seconds,4.0,3.5,
,,,57.57,57.57,,[hover] over [reference(s)] on [canvas],,wayfinding,wayfinding using canvas,cursor,,canvas,,57.0,57.0,0.0,<1 second,1.0,0.5,
,,,58.01,58.01,,[deselect],,selection,deselect,cursor,,canvas,,61.0,61.0,0.0,<1 second,1.0,0.5,
,,,58.02,58.02,,[paste],,copy/paste/cut,copy/paste/cut,keyboard,,canvas,,62.000000000000455,62.000000000000455,0.0,<1 second,1.0,0.5,
