Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
"Designing checkout UI for a bakery on Figma | Daily UI Challenge, Day 2",https://www.youtube.com/watch?v=ajwuqQDeeG4,5_1,24.33,24.33,drag mouse to create rectangle,[drag] to [create] [reference] at [new position] on [canvas] using [cursor] and [freehand positioning],,creating design object,creating design object using freehand,cursor,,canvas,,0.0,0.0,0.0,<1 second,1.0,0.5,
,,,24.32,24.32,select design object,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,,0.9999999999997726,0.9999999999997726,0.0,<1 second,1.0,0.5,
,,,24.31,24.3,change colour of design object,[update][colour] using [colour wheel],,update colour,update design object property,cursor,,gui,,2.0,2.9999999999997726,0.9999999999997726,<2 seconds,1.9999999999997726,1.4999999999997726,
,,,24.29,24.29,zoom in slightly,[zoom],,navigation,navigate,gesture,,canvas,,3.9999999999997726,3.9999999999997726,0.0,<1 second,1.0,0.5,
,,,24.28,24.27,drag mouse to create rectangle,[drag] to [create] [reference] at [new position] on [canvas] using [cursor] and [freehand positioning],,creating design object,creating design object using freehand,cursor,,canvas,,4.999999999999773,5.999999999999773,1.0,<2 seconds,2.0,1.5,
,,,24.27,24.27,zoom in slightly,[zoom],,navigation,navigate,gesture,,canvas,,5.999999999999773,5.999999999999773,0.0,<1 second,1.0,0.5,
,,,24.26,24.26,update width in ui bar,[gui interaction],,resizing,gui resizing,cursor,,gui,,6.999999999999545,6.999999999999545,0.0,<1 second,1.0,0.5,
,,,24.26,24.26,update height in ui bar,[gui interaction],,resizing,gui resizing,cursor,,gui,,6.999999999999545,6.999999999999545,0.0,<1 second,1.0,0.5,
,,,24.24,24.23,eye dropper,[eyedropper],,gui interaction,gui interaction,cursor,,canvas,,9.0,9.999999999999773,0.9999999999997726,<2 seconds,1.9999999999997726,1.4999999999997726,
,,,24.23,24.22,zoom out to show an area of interest,[zoom] to focus [area of interest],,navigation,navigate to region of interest,complex gesture,,canvas,,9.999999999999773,10.999999999999773,1.0,<2 seconds,2.0,1.5,
,,,24.21,24.21,frame selection,[create] [frame] from [reference],,grouping,framing,keyboard,,canvas,,11.999999999999773,11.999999999999773,0.0,<1 second,1.0,0.5,
,,,24.2,24.2,select multiple design objects with mouse,[multiselect] [references] on [canvas] using [cursor],,selection,multiselect,cursor,,canvas,,12.999999999999773,12.999999999999773,0.0,<1 second,1.0,0.5,
,,,24.17,24.17,centre selected within the current frame (uses alignment grids),[drag] [reference] to [new position] using [cursor] and [alignment grids],,positioning,alignment positioning,cursor,,canvas,,15.999999999999545,15.999999999999545,0.0,<1 second,1.0,0.5,
,,,24.16,24.16,deselect,[deselect],,selection,deselect,cursor,,canvas,,16.999999999999773,16.999999999999773,0.0,<1 second,1.0,0.5,
,,,24.16,24.16,select design object,[select] [reference] on [canvas] using [cursor],,selection,select,cursor,,canvas,,16.999999999999773,16.999999999999773,0.0,<1 second,1.0,0.5,
,,,24.15,24.15,duplicate design object to new position aligned with other objects,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,18.0,18.0,0.0,<1 second,1.0,0.5,
,,,24.15,24.14,zoom to focus area of interest,[zoom] to focus [area of interest],,navigation,navigate to region of interest,complex gesture,,canvas,,18.0,18.999999999999773,0.9999999999997726,<2 seconds,1.9999999999997726,1.4999999999997726,
,,,24.14,24.13,move design object closer to other design object whilst keeping it aligned,[drag] [reference] to [new position] using [cursor] and [alignment grids] and [reference(s)],,positioning,alignment positioning,cursor,,canvas,,18.999999999999773,19.999999999999773,1.0,<2 seconds,2.0,1.5,
,,,24.12,24.12,duplicate design object with the same spacing,[duplicate] [reference] to [new position] using [alignment grids],,positioning,alignment positioning,cursor,,canvas,,20.999999999999773,20.999999999999773,0.0,<1 second,1.0,0.5,
,,,24.12,24.12,move design object to align with three other reference objects,[drag] [reference] to [new position] using [cursor] and [alignment grids] and [reference(s)],,positioning,alignment positioning,cursor,,canvas,,20.999999999999773,20.999999999999773,0.0,<1 second,1.0,0.5,
,,,24.11,24.11,zoom out a bit,[zoom],,navigation,navigate,gesture,,canvas,,21.999999999999773,21.999999999999773,0.0,<1 second,1.0,0.5,
