participant,task,input_mode,label,duration,modifier
V6,1,plugin,task_1c,5.475,
V6,2,standard_input,task_2a,3.406,
V6,2,voice_control,task_2b,36.569,
V6,2,plugin,task_2c,4.736,
V6,3,standard_input,task_3a,3.548,
V6,3,voice_control,task_3b,40.312,
V6,3,plugin,task_3c,4.42,
V6,4,standard_input,task_4a,5.098,
V6,4,voice_control,task_4b,52.606,
V6,5,standard_input,task_5a,4.719,
V6,5,voice_control,task_5b,52.641,
V6,5,plugin,task_5c,59.845,
V7,1,standard_input,task_1a,0.728,
V7,1,voice_control,task_1b,14.334,
V7,1,plugin,task_1c,4.43,
V7,2,standard_input,task_2a,2.146,
V7,2,voice_control,task_2b,48.972,
V7,2,plugin,task_2c,3.742,
V7,3,standard_input,task_3a,3.854,
V7,3,voice_control,task_3b,40.243,
V7,3,plugin,task_3c,5.262,
V7,4,standard_input,task_4a,4.005,
V7,4,plugin,task_4c,5.875,
V7,5,standard_input,task_5a,3.085,
V7,5,voice_control,task_5b,37.5,
V7,5,plugin,task_5c,49.009,
V8,1,standard_input,task_1a,0.814,
V8,1,voice_control,task_1b,11.719,
V8,1,plugin,task_1c,5.794,
V8,2,standard_input,task_2a,2.555,
V8,2,voice_control,task_2b,84.374,
V8,2,plugin,task_2c,5.664,
V8,3,standard_input,task_3a,4.358,
V8,3,voice_control,task_3b,81.235,prompted
V8,3,plugin,task_3c,5.19,
V8,4,standard_input,task_4a,3.316,
V8,4,plugin,task_4c,10.22,
V8,5,standard_input,task_5a,3.466,
V8,5,voice_control,task_5b,71.756,
V8,5,plugin,task_5c,42.856,
V9,1,standard_input,task_1a,0.871,
V9,1,voice_control,task_1b,14.016,
V9,1,plugin,task_1c,6.039,
V9,2,standard_input,task_2a,1.119,
V9,2,voice_control,task_2b,74.732,
V9,2,plugin,task_2c,5.888,
V9,3,standard_input,task_3a,2.308,
V9,3,voice_control,task_3b,41.768,
V9,3,plugin,task_3c,7.081,
V9,4,standard_input,task_4a,2.944,
V9,4,voice_control,task_4b,59.141,
V9,4,plugin,task_4c,10.402,
V9,5,standard_input,task_5a,2.659,
V9,5,voice_control,task_5b,40.004,
V9,5,plugin,task_5c,22.327,
