task,input_mode,label,duration,modifier
1,standard_input,task_1a,0.871,
1,voice_control,task_1b,14.016,
1,plugin,task_1c,6.039,
2,standard_input,task_2a,1.119,
2,voice_control,task_2b,74.732,
2,plugin,task_2c,5.888,
3,standard_input,task_3a,2.308,
3,voice_control,task_3b,41.768,
3,plugin,task_3c,7.081,
4,standard_input,task_4a,2.944,
4,voice_control,task_4b,59.141,
4,plugin,task_4c,10.402,
5,standard_input,task_5a,2.659,
5,voice_control,task_5b,40.004,
5,plugin,task_5c,22.327,
