task,input_mode,label,duration,modifier
1,standard_input,task_1a,0.739,
1,voice_control,task_1b,16.001,
1,plugin,task_1c,3.399,
2,standard_input,task_2a,3.409,
2,voice_control,task_2b,84.019,prompted
2,plugin,task_2c,5.753,
3,standard_input,task_3a,3.84,
3,voice_control,task_3b,17.849,
3,plugin,task_3c,7.085,
4,standard_input,task_4a,6.574,
4,voice_control,task_4b,52.345,
5,standard_input,task_5a,3.37,
5,plugin,task_5c,58.748,prompted
